# ws2_32.dll exports for 'Ordinals to Names' Hopper Script
# Ordinal        Name
imp_ordinal_137  imp_WSCInstallNameSpaceEx32
imp_ordinal_138  imp_WSCInstallProvider
imp_ordinal_139  imp_WSCInstallProvider64_32
imp_ordinal_140  imp_WSCInstallProviderAndChains64_32
imp_ordinal_141  imp_WSCSetApplicationCategory
imp_ordinal_142  imp_WSCSetProviderInfo
imp_ordinal_143  imp_WSCSetProviderInfo32
imp_ordinal_144  imp_WSCUnInstallNameSpace
imp_ordinal_145  imp_WSCUnInstallNameSpace32
imp_ordinal_146  imp_WSCUpdateProvider
imp_ordinal_147  imp_WSCUpdateProvider32
imp_ordinal_148  imp_WSCWriteNameSpaceOrder
imp_ordinal_149  imp_WSCWriteNameSpaceOrder32
imp_ordinal_150  imp_WSCWriteProviderOrder
imp_ordinal_151  imp___WSAFDIsSet
imp_ordinal_152  imp_WSCWriteProviderOrder32
imp_ordinal_153  imp_WahCloseApcHelper
imp_ordinal_154  imp_WahCloseHandleHelper
imp_ordinal_155  imp_WahCloseNotificationHandleHelper
imp_ordinal_156  imp_WahCloseSocketHandle
imp_ordinal_157  imp_WahCloseThread
imp_ordinal_158  imp_WahCompleteRequest
imp_ordinal_159  imp_WahCreateHandleContextTable
imp_ordinal_160  imp_WahCreateNotificationHandle
imp_ordinal_161  imp_WahCreateSocketHandle
imp_ordinal_162  imp_WahDestroyHandleContextTable
imp_ordinal_163  imp_WahDisableNonIFSHandleSupport
imp_ordinal_164  imp_WahEnableNonIFSHandleSupport
imp_ordinal_165  imp_WahEnumerateHandleContexts
imp_ordinal_166  imp_WahInsertHandleContext
imp_ordinal_167  imp_WahNotifyAllProcesses
imp_ordinal_168  imp_WahOpenApcHelper
imp_ordinal_169  imp_WahOpenCurrentThread
imp_ordinal_170  imp_WahOpenHandleHelper
imp_ordinal_171  imp_WahOpenNotificationHandleHelper
imp_ordinal_172  imp_WahQueueUserApc
imp_ordinal_173  imp_WahReferenceContextByHandle
imp_ordinal_174  imp_WahRemoveHandleContext
imp_ordinal_175  imp_WahWaitForNotification
imp_ordinal_176  imp_WahWriteLSPEvent
imp_ordinal_177  imp_freeaddrinfo
imp_ordinal_178  imp_getaddrinfo
imp_ordinal_179  imp_getnameinfo
imp_ordinal_180  imp_inet_ntop
imp_ordinal_181  imp_inet_pton
imp_ordinal_500  imp_WEP
